ds,y
2020-01-01,158
2020-01-02,171
2020-01-03,148
2020-01-04,134
2020-01-05,162
2020-01-06,127
2020-01-07,140
2020-01-08,158
2020-01-09,177
2020-01-10,138
2020-01-11,142
2020-01-12,130
2020-01-13,130
2020-01-14,143
2020-01-15,172
2020-01-16,155
2020-01-17,159
2020-01-18,143
2020-01-19,122
2020-01-20,141
2020-01-21,172
2020-01-22,121
2020-01-23,143
2020-01-24,163
2020-01-25,149
2020-01-26,157
2020-01-27,121
2020-01-28,179
2020-01-29,140
2020-01-30,152
2020-01-31,131
2020-02-01,177
2020-02-02,141
2020-02-03,163
2020-02-04,144
2020-02-05,168
2020-02-06,146
2020-02-07,178
2020-02-08,161
2020-02-09,147
2020-02-10,179
2020-02-11,135
2020-02-12,134
2020-02-13,166
2020-02-14,170
2020-02-15,163
2020-02-16,174
2020-02-17,171
2020-02-18,176
2020-02-19,122
2020-02-20,156
2020-02-21,170
2020-02-22,126
2020-02-23,140
2020-02-24,128
2020-02-25,158
2020-02-26,137
2020-02-27,123
2020-02-28,144
2020-02-29,179
2020-03-01,183
2020-03-02,219
2020-03-03,227
2020-03-04,178
2020-03-05,195
2020-03-06,222
2020-03-07,171
2020-03-08,189
2020-03-09,197
2020-03-10,216
2020-03-11,229
2020-03-12,176
2020-03-13,213
2020-03-14,177
2020-03-15,216
2020-03-16,204
2020-03-17,183
2020-03-18,186
2020-03-19,205
2020-03-20,219
2020-03-21,209
2020-03-22,173
2020-03-23,171
2020-03-24,175
2020-03-25,223
2020-03-26,211
2020-03-27,173
2020-03-28,223
2020-03-29,198
2020-03-30,187
2020-03-31,195
2020-04-01,213
2020-04-02,203
2020-04-03,179
2020-04-04,205
2020-04-05,183
2020-04-06,200
2020-04-07,217
2020-04-08,184
2020-04-09,177
2020-04-10,183
2020-04-11,192
2020-04-12,229
2020-04-13,226
2020-04-14,209
2020-04-15,190
2020-04-16,185
2020-04-17,214
2020-04-18,187
2020-04-19,216
2020-04-20,222
2020-04-21,193
2020-04-22,195
2020-04-23,194
2020-04-24,229
2020-04-25,229
2020-04-26,229
2020-04-27,214
2020-04-28,210
2020-04-29,198
2020-04-30,184
2020-05-01,214
2020-05-02,170
2020-05-03,194
2020-05-04,176
2020-05-05,178
2020-05-06,193
2020-05-07,170
2020-05-08,213
2020-05-09,177
2020-05-10,193
2020-05-11,180
2020-05-12,220
2020-05-13,186
2020-05-14,177
2020-05-15,204
